class,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Chitinophagia,2182.0,958.0,558.0,2521.0,1214.0,551.0,1722.0,2715.0,1003.0,2187.0
sk__Bacteria;p__Bacteroidetes;c__Cytophagia,156.0,324.0,98.0,1118.0,499.0,152.0,191.0,2707.0,267.0,721.0
