,superkingdom,phylum,class,order,family,genus,species
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
sk__Bacteria;k__;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__Calditrichaceae,Bacteria,Calditrichaeota,Calditrichae,Calditrichales,Calditrichaceae,,
sk__Bacteria;k__;p__Candidatus_Azambacteria,Bacteria,Candidatus Azambacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Campbellbacteria,Bacteria,Candidatus Campbellbacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Kaiserbacteria,Bacteria,Candidatus Kaiserbacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Komeilibacteria,Bacteria,Candidatus Komeilibacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Lloydbacteria,Bacteria,Candidatus Lloydbacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Magasanikbacteria,Bacteria,Candidatus Magasanikbacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Nomurabacteria,Bacteria,Candidatus Nomurabacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Omnitrophica,Bacteria,Candidatus Omnitrophica,,,,,
sk__Bacteria;k__;p__Candidatus_Omnitrophica;c__;o__;f__;g__Candidatus_Omnitrophus,Bacteria,Candidatus Omnitrophica,,,,Candidatus Omnitrophus,
sk__Bacteria;k__;p__Candidatus_Parcubacteria,Bacteria,Candidatus Parcubacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Peregrinibacteria,Bacteria,Candidatus Peregrinibacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Peregrinibacteria;c__Candidatus_Peribacteria,Bacteria,Candidatus Peregrinibacteria,Candidatus Peribacteria,,,,
sk__Bacteria;k__;p__Candidatus_Uhrbacteria,Bacteria,Candidatus Uhrbacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Woesebacteria,Bacteria,Candidatus Woesebacteria,,,,,
sk__Bacteria;k__;p__Candidatus_Zambryskibacteria,Bacteria,Candidatus Zambryskibacteria,,,,,
sk__Bacteria;k__;p__Chlamydiae,Bacteria,Chlamydiae,,,,,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia,Bacteria,Chlamydiae,Chlamydiia,,,,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,,,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,,,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus_Metachlamydia,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Candidatus Metachlamydia,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus_Protochlamydia,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Neochlamydia,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Parachlamydia,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Parachlamydia,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Rhabdochlamydiaceae,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Rhabdochlamydiaceae,,
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Simkaniaceae,,
sk__Bacteria;k__;p__Chloroflexi,Bacteria,Chloroflexi,,,,,
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae,Bacteria,Chloroflexi,Anaerolineae,,,,
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,,,
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,,
sk__Bacteria;k__;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales,Bacteria,Chloroflexi,Ardenticatenia,Ardenticatenales,,,
sk__Bacteria;k__;p__Chloroflexi;c__Caldilineae;o__Caldilineales,Bacteria,Chloroflexi,Caldilineae,Caldilineales,,,
sk__Bacteria;k__;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,,
sk__Bacteria;k__;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,,,
sk__Bacteria;k__;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,,
sk__Bacteria;k__;p__Chloroflexi;c__Dehalococcoidia,Bacteria,Chloroflexi,Dehalococcoidia,,,,
sk__Bacteria;k__;p__Chloroflexi;c__Ktedonobacteria,Bacteria,Chloroflexi,Ktedonobacteria,,,,
sk__Bacteria;k__;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,
sk__Bacteria;k__;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,,,
sk__Bacteria;k__;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,,,
sk__Bacteria;k__;p__Cyanobacteria,Bacteria,Cyanobacteria,,,,,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Chroococcales;f__Chroococcaceae;g__Chroococcus;s__Chroococcus_sp._2T05h,Bacteria,Cyanobacteria,,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp. 2T05h
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae,Bacteria,Cyanobacteria,,Chroococcales,Microcystaceae,,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Nostocales,Bacteria,Cyanobacteria,,Nostocales,,,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Anabaena,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Oscillatoriales,Bacteria,Cyanobacteria,,Oscillatoriales,,,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales,Bacteria,Cyanobacteria,,Synechococcales,,,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Chamaesiphonaceae;g__Chamaesiphon,Bacteria,Cyanobacteria,,Synechococcales,Chamaesiphonaceae,Chamaesiphon,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Coelosphaeriaceae;g__Snowella,Bacteria,Cyanobacteria,,Synechococcales,Coelosphaeriaceae,Snowella,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae,Bacteria,Cyanobacteria,,Synechococcales,Leptolyngbyaceae,,
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,,
sk__Bacteria;k__;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,,,
sk__Bacteria;k__;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,,
sk__Bacteria;k__;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,
sk__Bacteria;k__;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Trueperaceae,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,,
sk__Bacteria;k__;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Meiothermus,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,
sk__Bacteria;k__;p__Elusimicrobia;c__;o__;f__;g__;s__Elusimicrobia_bacterium_RIFCSPLOWO2_01_FULL_59_12,Bacteria,Elusimicrobia,Elusimicrobia,,,,
sk__Bacteria;k__;p__Elusimicrobia;c__Elusimicrobia,Bacteria,Elusimicrobia,Elusimicrobia,,,,
sk__Bacteria;k__;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,,
sk__Bacteria;k__;p__Firmicutes,Bacteria,Firmicutes,,,,,
sk__Bacteria;k__;p__Firmicutes;c__;o__;f__;g__Hydrogenispora,Bacteria,Firmicutes,,,,Hydrogenispora,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli,Bacteria,Firmicutes,Bacilli,,,,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales,Bacteria,Firmicutes,Bacilli,Bacillales,,,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Exiguobacterium,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__Tumebacillus_ginsengisoli,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,Tumebacillus ginsengisoli
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,Eukaryota,Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Saccharibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia,Bacteria,Firmicutes,Clostridia,,,,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Fonticella,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Fonticella,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Sporacetigenium,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Sporacetigenium,
sk__Bacteria;k__;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sk__Bacteria;k__;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,
sk__Bacteria;k__;p__Firmicutes;c__Tissierellia;o__;f__;g__Ezakiella,Bacteria,Firmicutes,Tissierellia,,,Ezakiella,
sk__Bacteria;k__;p__Firmicutes;c__Tissierellia;o__;f__;g__Sedimentibacter,Bacteria,Firmicutes,Tissierellia,,,Sedimentibacter,
sk__Bacteria;k__;p__Gemmatimonadetes;c__Gemmatimonadetes,Bacteria,Gemmatimonadetes,Gemmatimonadetes,,,,
sk__Bacteria;k__;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,
sk__Bacteria;k__;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
sk__Bacteria;k__;p__Gemmatimonadetes;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,,
sk__Bacteria;k__;p__Ignavibacteriae;c__Ignavibacteria,Bacteria,Ignavibacteriae,Ignavibacteria,,,,
sk__Bacteria;k__;p__Kiritimatiellaeota;c__Kiritimatiellae,Bacteria,Kiritimatiellaeota,Kiritimatiellae,,,,
sk__Bacteria;k__;p__Nitrospirae,Bacteria,Nitrospirae,,,,,
sk__Bacteria;k__;p__Nitrospirae;c__Nitrospira,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,
sk__Bacteria;k__;p__Planctomycetes,Bacteria,Planctomycetes,,,,,
sk__Bacteria;k__;p__Planctomycetes;c__Phycisphaerae,Bacteria,Planctomycetes,Phycisphaerae,,,,
sk__Bacteria;k__;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
sk__Bacteria;k__;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,,
sk__Bacteria;k__;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,,,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,,,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Gemmataceae,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Gemmataceae;g__Fimbriiglobus,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Fimbriiglobus,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Gemmataceae;g__Gemmata,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Gemmataceae;g__Telmatocola,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Telmatocola,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Gemmataceae;g__Zavarzinella,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Zavarzinella,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Isosphaeraceae,Bacteria,Planctomycetes,Planctomycetia,Isosphaerales,Isosphaeraceae,,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Isosphaeraceae;g__Aquisphaera,Bacteria,Planctomycetes,Planctomycetia,Isosphaerales,Isosphaeraceae,Aquisphaera,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Isosphaeraceae;g__Singulisphaera,Bacteria,Planctomycetes,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__planctomycete_WY69,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,,planctomycete WY69
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Blastopirellula,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Blastopirellula,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomicrobium,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomicrobium,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctopirus,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctopirus,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Rhodopirellula,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Schlesneria,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Schlesneria,
sk__Bacteria;k__;p__Proteobacteria,Bacteria,Proteobacteria,,,,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__Alphaproteobacteria_bacterium,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Alphaproteobacteria bacterium
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Phreatobacter,Bacteria,Proteobacteria,Alphaproteobacteria,,,Phreatobacter,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Rhodovarius,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodovarius,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae;g__Candidatus_Finniella,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae,Candidatus Finniella,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae;g__Candidatus_Finniella;s__Candidatus_Finniella_inopinata,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae,Candidatus Finniella,Candidatus Finniella inopinata
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae;g__Candidatus_Paracaedibacter,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae,Candidatus Paracaedibacter,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Kiloniellaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__Amphiplicatus,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Amphiplicatus,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Bauldia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Bauldia,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Nordella,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Nordella,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Pseudorhodoplanes,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Pseudorhodoplanes,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Beijerinckia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia,
