order,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Candidatus Nomurabacteria;c__;o__,6.0,7.0,0.0,6.0,4.0,2.0,15.0,10.0,0.0,5.0
sk__Bacteria;p__Candidatus Omnitrophica;c__;o__,4.0,13.0,0.0,20.0,35.0,14.0,1.0,10.0,0.0,13.0
sk__Bacteria;p__Candidatus Omnitrophica;c__;o__,4.0,13.0,0.0,20.0,35.0,14.0,1.0,10.0,0.0,13.0
sk__Bacteria;p__Candidatus Parcubacteria;c__;o__,4.0,5.0,1.0,3.0,21.0,15.0,15.0,8.0,4.0,2.0
sk__Bacteria;p__Candidatus Peregrinibacteria;c__;o__,1.0,3.0,1.0,1.0,1.0,6.0,5.0,4.0,0.0,0.0
sk__Bacteria;p__Candidatus Peregrinibacteria;c__Candidatus Peribacteria;o__,1.0,6.0,2.0,7.0,3.0,4.0,14.0,1.0,1.0,4.0
sk__Bacteria;p__Candidatus Uhrbacteria;c__;o__,3.0,1.0,0.0,4.0,0.0,1.0,3.0,2.0,2.0,2.0
sk__Bacteria;p__Candidatus Woesebacteria;c__;o__,1.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,2.0
sk__Bacteria;p__Candidatus Zambryskibacteria;c__;o__,2.0,3.0,1.0,0.0,8.0,7.0,4.0,7.0,2.0,1.0
sk__Bacteria;p__Chlamydiae;c__;o__,4.0,3.0,5.0,6.0,3.0,1.0,11.0,6.0,2.0,10.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__,6.0,4.0,5.0,6.0,6.0,1.0,8.0,14.0,1.0,12.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales,34.0,24.0,30.0,24.0,41.0,18.0,66.0,58.0,24.0,43.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,46.0,52.0,43.0,68.0,80.0,17.0,103.0,106.0,33.0,103.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,46.0,52.0,43.0,68.0,80.0,17.0,103.0,106.0,33.0,103.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,46.0,52.0,43.0,68.0,80.0,17.0,103.0,106.0,33.0,103.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,46.0,52.0,43.0,68.0,80.0,17.0,103.0,106.0,33.0,103.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,46.0,52.0,43.0,68.0,80.0,17.0,103.0,106.0,33.0,103.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,46.0,52.0,43.0,68.0,80.0,17.0,103.0,106.0,33.0,103.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,46.0,52.0,43.0,68.0,80.0,17.0,103.0,106.0,33.0,103.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales,46.0,52.0,43.0,68.0,80.0,17.0,103.0,106.0,33.0,103.0
sk__Bacteria;p__Chloroflexi;c__;o__,368.0,459.0,187.0,723.0,853.0,277.0,736.0,471.0,268.0,506.0
