phylum,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chlamydiae,90.0,83.0,83.0,104.0,130.0,37.0,188.0,184.0,60.0,168.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Chloroflexi,1515.0,1447.0,550.0,2443.0,2255.0,939.0,2556.0,1979.0,989.0,2878.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Cyanobacteria,118.0,233.0,37.0,624.0,403.0,41.0,249.0,395.0,71.0,554.0
sk__Bacteria;p__Deinococcus-Thermus,9.0,5.0,4.0,25.0,10.0,0.0,13.0,80.0,62.0,16.0
sk__Bacteria;p__Deinococcus-Thermus,9.0,5.0,4.0,25.0,10.0,0.0,13.0,80.0,62.0,16.0
sk__Bacteria;p__Deinococcus-Thermus,9.0,5.0,4.0,25.0,10.0,0.0,13.0,80.0,62.0,16.0
sk__Bacteria;p__Deinococcus-Thermus,9.0,5.0,4.0,25.0,10.0,0.0,13.0,80.0,62.0,16.0
sk__Bacteria;p__Deinococcus-Thermus,9.0,5.0,4.0,25.0,10.0,0.0,13.0,80.0,62.0,16.0
sk__Bacteria;p__Elusimicrobia,130.0,263.0,44.0,429.0,616.0,227.0,324.0,221.0,86.0,301.0
sk__Bacteria;p__Elusimicrobia,130.0,263.0,44.0,429.0,616.0,227.0,324.0,221.0,86.0,301.0
sk__Bacteria;p__Fibrobacteres,6.0,7.0,3.0,1.0,20.0,4.0,11.0,13.0,0.0,1.0
