#SampleID	SRR1141250	SRR1143350	SRR1145430	SRR1145431	SRR1143324	SRR1145435	SRR1145427	SRR1145428	SRR1141249	SRR1143339	SRR1145429
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	2496	1080	1703	0	1442	0	493	1592	3215	181	1303
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__Acidimicrobidae_bacterium_Ellin7143	2	1	3	0	3	0	0	2	7	1	2
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	50	12	10	0	17	0	5	14	60	2	17
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae	280	0	18	0	169	0	4	51	257	0	21
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae	14	8	0	0	11	0	13	2	19	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans;s__Aquihabitans_daechungensis	0	0	0	0	2	0	0	0	2	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	214	132	33	0	99	0	118	22	220	23	21
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae	382	145	84	0	199	0	47	64	572	29	67
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter	180	103	6	0	89	0	37	17	215	16	10
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	761	10790	316	0	471	0	5056	304	899	3330	432
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__actinobacterium_WWH12	0	1	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__actinobacterium_YJF1-30	35	0	17	0	59	0	0	96	43	0	24
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__actinobacterium_YJF2-33	4	1	3	0	0	0	0	9	0	0	4
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__bacterium_Ellin5129	0	0	0	0	0	0	0	0	1	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales	9	0	5	0	2	0	0	6	9	0	4
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae	15	0	10	0	12	0	1	19	34	0	19
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae;g__Acidothermus	165	1	148	0	144	0	7	220	315	2	133
