,superkingdom,phylum,class,order,family,genus
33,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__,sk__Bacteria;p__Firmicutes;c__;o__,sk__Bacteria;p__Firmicutes;c__;o__;f__,sk__Bacteria;p__Firmicutes;c__;o__;f__;g__
34,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Bacilli,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__
35,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Bacilli,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anaerobacillus
36,sk__Eukaryota,sk__Eukaryota;p__Arthropoda,sk__Eukaryota;p__Arthropoda;c__Insecta,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Phasmatodea,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Phasmatodea;f__Bacillidae,sk__Eukaryota;p__Arthropoda;c__Insecta;o__Phasmatodea;f__Bacillidae;g__Bacillus
37,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Bacilli,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Ureibacillus
38,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Bacilli,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__
39,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__,sk__Bacteria;p__Firmicutes;c__Clostridia;o__;f__,sk__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__
40,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__
41,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caldicoprobacteraceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caldicoprobacteraceae;g__Caldicoprobacter
42,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__
43,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__
44,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Alkaliphilus
45,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium
46,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Dehalobacterium
47,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Acetobacterium
48,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Garciella
49,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__
50,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Lutispora
51,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__
52,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio
53,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus
54,sk__Bacteria,sk__Bacteria;p__Firmicutes,sk__Bacteria;p__Firmicutes;c__Clostridia,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,sk__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia
