,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,F-max,ROC-AUC,PR-AUC
231,0.9757,0.9446,0.9522,0.9446,0.0478,0.9446,0.918,0.9305,0.9405,0.9923,0.9618
232,0.9757,0.9444,0.9523,0.9444,0.0477,0.9444,0.918,0.9305,0.9405,0.9923,0.9618
233,0.9757,0.9444,0.9524,0.9444,0.0476,0.9444,0.9185,0.9307,0.9405,0.9923,0.9618
234,0.9758,0.9443,0.9525,0.9443,0.0475,0.9443,0.9189,0.9309,0.9405,0.9923,0.9618
235,0.9758,0.9435,0.9527,0.9435,0.0473,0.9435,0.9189,0.9305,0.9405,0.9923,0.9618
236,0.9759,0.9435,0.9528,0.9435,0.0472,0.9435,0.9192,0.9306,0.9405,0.9923,0.9618
237,0.9759,0.9435,0.953,0.9435,0.047,0.9435,0.9194,0.9307,0.9405,0.9923,0.9618
238,0.976,0.9435,0.9531,0.9435,0.0469,0.9435,0.9195,0.9307,0.9405,0.9923,0.9618
239,0.976,0.9434,0.9533,0.9434,0.0467,0.9434,0.9196,0.9308,0.9405,0.9923,0.9618
240,0.9761,0.9434,0.9534,0.9434,0.0466,0.9434,0.92,0.931,0.9405,0.9923,0.9618
241,0.9761,0.9434,0.9535,0.9434,0.0465,0.9434,0.9203,0.9311,0.9405,0.9923,0.9618
242,0.9761,0.9434,0.9535,0.9434,0.0465,0.9434,0.9203,0.9311,0.9405,0.9923,0.9618
243,0.9762,0.9433,0.9536,0.9433,0.0464,0.9433,0.9207,0.9312,0.9405,0.9923,0.9618
